,field_1,LocationID,Borough,Zone,service_zone,geometry
147,157,158,Manhattan,Meatpacking/West Village West,Yellow Zone,"POLYGON ((-74.0098071 40.7393477, -74.0051615 40.7393477, -74.0051615 40.7423149, -74.0098071 40.7423149, -74.0098071 40.7393477))"
148,158,159,Bronx,Melrose South,Boro Zone,"POLYGON ((-91.328547 39.9174826, -91.325496 39.9174826, -91.325496 39.9178381, -91.328547 39.9178381, -91.328547 39.9174826))"
149,159,160,Queens,Middle Village,Boro Zone,"POLYGON ((-73.89090130000001 40.7054529, -73.85962210000001 40.7054529, -73.85962210000001 40.7318485, -73.89090130000001 40.7318485, -73.89090130000001 40.7054529))"
150,160,161,Manhattan,Midtown Center,Yellow Zone,"POLYGON ((-87.9859526 43.091083100000006, -87.9839526 43.091083100000006, -87.9839526 43.0930831, -87.9859526 43.0930831, -87.9859526 43.091083100000006))"
151,161,162,Manhattan,Midtown East,Yellow Zone,"POLYGON ((-73.9808908 40.7481753, -73.95908899999999 40.7481753, -73.95908899999999 40.7641613, -73.9808908 40.7641613, -73.9808908 40.7481753))"
152,162,163,Manhattan,Midtown North,Yellow Zone,"POLYGON ((-73.9861039 40.763951600000006, -73.9841039 40.763951600000006, -73.9841039 40.7659516, -73.9861039 40.7659516, -73.9861039 40.763951600000006))"
153,163,164,Manhattan,Midtown South,Yellow Zone,"POLYGON ((-73.9986405 40.7432658, -73.9746669 40.7432658, -73.9746669 40.7603545, -73.9986405 40.7603545, -73.9986405 40.7432658))"
154,164,165,Brooklyn,Midwood,Boro Zone,"POLYGON ((-73.9764994 40.6088215, -73.94410599999999 40.6088215, -73.94410599999999 40.63226450000001, -73.9764994 40.63226450000001, -73.9764994 40.6088215))"
155,165,166,Manhattan,Morningside Heights,Boro Zone,"POLYGON ((-73.9711901 40.80185549999999, -73.9563131 40.80185549999999, -73.9563131 40.818091, -73.9711901 40.818091, -73.9711901 40.80185549999999))"
156,166,167,Bronx,Morrisania/Melrose,Boro Zone,"POLYGON ((-73.9166379 40.8204754, -73.8928561 40.8204754, -73.8928561 40.844582, -73.9166379 40.844582, -73.9166379 40.8204754))"
